Project,Test,PullRequest,Location,Table5Categroy,Table7Categroy
ProjE,TEST-1899,PR-1,test,Async wait;,Polling;
ProjE,TEST-1906,PR-2,test,Async Wait;,Removing_code;
ProjE,TEST-1918,PR-3,test,Async Wait;,Unclear;
ProjD,TEST-793,PR-4,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-802,PR-5,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-792,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-798,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-801,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-808,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-797,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-796,PR-6,both,Async Wait;Randomness,Removing_code;
ProjD,TEST-811,PR-7,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-823,PR-7,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-810,PR-7,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-811,PR-8,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-810,PR-8,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-809,PR-9,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-907,PR-10,test,Async wait;,Callbacks;Polling
ProjD,TEST-934,PR-10,test,Async wait;,Callbacks;Polling
ProjD,TEST-889,PR-11,test,Async wait;,Callbacks;
ProjD,TEST-1013,PR-12,source,Async Wait;I/O,Callbacks;
ProjD,TEST-1020,PR-13,both,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1028,PR-14,test,Async Wait;,Callbacks;Increase_wait_timeout
ProjD,TEST-1027,PR-14,test,Async Wait;,Callbacks;Increase_wait_timeout
ProjD,TEST-890,PR-15,test,Async Wait;,Callbacks;
ProjD,TEST-1018,PR-16,test,Async Wait;,Unclear;
ProjD,TEST-1017,PR-16,test,Async Wait;,Unclear;
ProjD,TEST-1071,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1058,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1080,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1079,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1078,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1070,PR-17,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1087,PR-18,test,Async Wait;,Increase_wait_timeout;
ProjD,TEST-838,PR-19,test,Async Wait;Network,Callbacks;
ProjD,TEST-1014,PR-19,test,Async Wait;Network,Callbacks;
ProjD,TEST-1139,PR-20,test,Async Wait;Resource leak,Mocking;Polling
ProjD,TEST-1132,PR-20,test,Async Wait;Resource leak,Mocking;Polling
ProjD,TEST-1140,PR-21,test,Async Wait;Concurrency,Unclear;
ProjD,TEST-1149,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1148,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1147,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1146,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1145,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1144,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1143,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1142,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1141,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1161,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1154,PR-22,test,Async Wait;,Unclear;
ProjD,TEST-1150,PR-23,test,Async Wait;,Polling;Increase_wait_timeout
ProjD,TEST-1217,PR-24,test,Async Wait;,Callbacks;
